관측일자,관측소한글명,관측소영문명,수온,염분,용존산소,기상청 데이터 유무
2021-11-23,부산 장안,Busan Jangan,15,,,Y
2021-11-23,울진 후포,Uljin Hupo,16,,,Y
2021-11-23,추자도,Chujado,15,,,Y
2021-11-23,군산 비안도,Gunsan Biando,14,,,Y
2021-11-23,보령 삽시도,Sapsido,14,,,Y
2021-11-23,제주 우도,Jeju Udo,19,,,Y
2021-11-23,제주 협재,Jeju Hyupjae,18,,,Y
2021-11-23,태안 신진도,Sinjindo,15,,,Y
2021-11-23,진도 불도,Jindo Buldo,15,,,Y
2021-11-23,통영 두미도,Tongyeong Doomido,16,,,Y
2021-11-23,신안 자은,Sinan Jaeun,14,,,Y
2021-11-23,거제 해금강,Tongyeong Haegeumgang,16,,,Y
2021-11-23,제주 용담,Jeju Yongdam,18,,,Y
2021-11-23,제주 중문,Jeju Jungmun,18,,,Y
2021-11-23,부산 다대포,Busan Dadaepo,14,,,Y
2021-11-23,인천 이작도,Ijakdo,15,,,Y
2021-11-23,서제주,SEOJEJU,17,26,,
2021-11-23,고리,GORI,16,33,,
2021-11-23,덕천,DUCCHEN,17,34,,
2021-11-23,나곡,NAGOK,15,13,,
2021-11-23,진하,JINHA,15,34,,
2021-11-23,기장(한수원),GIJANG,15,33,,
2021-11-23,온양,ONYANG,16,35,,
2021-11-23,고흥 소록도,Goheung Sorokdo,15,26,,
2021-11-23,기장,GIJANG,15,,,
2021-11-23,여수 금오도,yeosu Keunodo,15,,,Y
2021-11-23,통영 한산도,Tongyeong Hansando,16,,,Y
2021-08-20,안산 풍도,Pyungdo,28,,,Y
2021-11-23,인천 자월도,Jaweoldo,14,,,Y
2021-11-23,서천 마량,Seocheon Maryang,14,,,Y
2021-11-23,군산 횡경도,Gunsan Hoengkyungdo,12,,,Y
2021-11-23,영광 안마도,Yeongkwang Anmado,14,,,Y
2021-11-23,제주 가파도,Jeju Gapado,19,,,Y
2021-11-23,고흥 부아도,Goheung Buado,15,,,Y
2021-11-23,울산 간절곶,Ulsan Ganjeolgop,16,,,Y
2021-11-23,통영 소매물도,Tongyeong Somaemuldo,16,,,Y
2021-11-23,태안 내포,Naepo,14,,,Y
2021-11-23,태안 안면도,Anmyeondo,13,,,Y
2021-11-23,포항 월포,Pohang Wolpo,16,,,Y
2021-11-23,영광 낙월,Yeongkwang Nakweol,12,,,Y
2021-11-23,제주 신산,Jeju Sinsan,19,,,Y
2021-11-23,부안 변산,Buan Byunsan,13,,,Y
2021-11-23,남해 상주,Namhae Sangju,15,,,Y
2021-11-23,통영 연화도,Tongyeong Yeonhwado,16,,,Y
2021-11-23,진도 조도,Jindo Jodo,14,,,Y
2021-11-23,진도 불무도,Jindo Bulmudo,15,,,Y
2021-11-23,제주 영락,Jeju Youngrak,19,,,Y
2021-11-23,진해 잠도,Jinhae Jamdo,15,,,Y
2021-11-23,부안 위도,Buan Wido,14,,,Y
2021-11-23,인천 장봉도,Jangbongdo,12,,,Y
2021-11-23,제주 김녕,Jeju Gimnyung,17,,,Y
2021-11-23,태안 파도리,taean padori,12,,,
2021-11-23,태안 파도리,taean padori,11,,,
2021-11-23,태안 대야도,taean daeyado,14,,,
2021-11-23,태안 대야도,taean daeyado,14,,,
2021-11-23,신안다수,shinan dasu,15,,,
2021-11-23,강진 마량,gangjin maryang,14,,,
2021-11-23,장흥 내저,jangheung naejeo,15,,,
2021-11-23,신안 다물도,shinan damuldo,15,,,
2021-11-23,해남 어란,haenam eoran,14,,,
2021-11-23,해남 상마,haenam sangma,14,,,
2021-11-23,완도 동촌,wando dongchon,14,,,
2021-11-23,신안 사치,Shinan sachi,14,,,
2021-11-23,진도 가사,Jindo gasa,15,,,
2021-11-23,완도 고마,Wando goma,14,,,
2021-11-23,여수 신월2 ,YEOSOOSINWOL2,15,,,
2021-11-23,진도 회동,jindo heodong,14,,,
2021-11-23,보성 동율,BOSEONG DONGYUL,13,,,
2021-11-23,장흥 노력,JANGHEUNG NORYUK,14,,,
2021-11-23,진도 저도,JINDO JEODO,15,,,
2021-11-23,맹골수도(기상청파고부이),,14,,,Y
2021-11-23,혈암(기상청파고부이),,16,,,Y
2021-11-23,구암(기상청파고부이),,16,,,Y
2021-11-23,독도(기상청파고부이),,16,,,Y
2021-11-23,연곡(기상청파고부이),,14,,,Y
2021-11-23,청산도(기상청파고부이),,15,,,Y
2021-11-23,북항(기상청파고부이),,15,,,Y
2021-11-23,울릉읍(기상청파고부이),,17,,,Y
2021-11-23,토성(기상청파고부이),,15,,,Y
2021-11-23,대치마도(기상청파고부이),,10,,,Y
2021-11-23,사량도(기상청파고부이),,16,,,Y
2021-11-23,삼척(기상청파고부이),,15,,,Y
2021-11-23,나로도(기상청파고부이),,15,,,Y
2021-11-23,노화도(기상청파고부이),,15,,,Y
2021-11-23,초도(기상청파고부이),,15,,,Y
2021-11-23,통영 수월,Tongyeong Suwol,16,25,,
2021-11-23,통영 학림,Tongyeong Haklim,16,,,
2021-11-23,남해 미조,NamHae Mizo,16,,,
2021-11-23,목포,Mokpo,14,,,
2021-11-23,남해 강진,NAMHAEKANGJIN,15,,,
2021-11-23,보령 효자도,BORYUNGHYOJADO,14,,,
2021-10-26,삼척,SAMCHEOK,21,,,
2021-10-26,삼척,SAMCHEOK,22,,,
2021-10-26,삼척,SAMCHEOK,22,,,
2021-11-23,서산 지곡,Seosan Jigok,10,,,
2021-11-23,기장,GIJANG,15,,,
2021-11-22,양양,YANGYANG,16,,,
2021-11-22,양양,YANGYANG,16,,,
2021-11-22,양양,YANGYANG,15,,,
2021-11-23,여수 신월,YEOSOOSINWOL,14,,,
2021-11-23,여수 화태,YEOSOOHWATAE,15,,,
2021-11-23,영덕,YEONGDEOK,16,,,
2021-11-23,영덕,YEONGDEOK,16,,,
2021-11-23,영덕,YEONGDEOK,14,,,
2021-11-23,완도 노화도,Wando Nohwado,16,,,
2021-11-23,완도 청산,WANDOCHEONGSAN,14,,,
2021-11-23,해남 임하,HAENAMIMHA,15,,,
2021-11-23,통영 비산도,Tongyeong Bisando,16,,,
2021-11-23,통영 사량,TONGYOUNGSARYANG,17,,,
2021-11-23,통영 영운,Tongyeong Yeongun,16,,,
2021-11-23,통영 풍화,Tongyeong Punghwa,16,,,
2021-11-23,통영 학림,Tongyeong Haklim,16,,,
2021-11-23,강릉,GANGNEUNG,16,,,
2021-11-23,거제 가배,"Geoje Gabae",15,,,
2021-11-23,거제 일운,Geoje Irun,15,,,
2021-11-23,기장,GIJANG,15,,,
2021-11-23,완도 금일,Wando Keumil,15,,,
2021-11-23,강릉,GANGNEUNG,16,,,
2021-11-23,강릉,GANGNEUNG,16,,,
2021-11-23,백령도,BAENGNYEONGDO,13,,,
2021-11-23,통영 학림,Tongyeong Haklim,16,,,
2021-11-23,신안 도초,shinan docho,15,,,
2021-11-23,보성 해평,boseong haepyong,13,,,
2021-11-23,여수 항대,"yeosoo hangdaeboseong haepyong",15,,,
2021-07-22,해남 화산,Haenam Hwasan,4,,,
2021-11-23,장흥 내저,jangheung naejeo,,,,
2021-11-23,장흥 내저,jangheung naejeo,,,,
2021-11-23,강진 마량,gangjin maryang,,,,
2021-11-23,강진 마량,gangjin maryang,,,,
2021-11-23,신안 다수,shinan dasu,,,,
2021-11-23,신안 다수,shinan dasu,,,,
2021-11-23,신안 어의,,13,,,
2021-11-23,통영 풍화,Tongyeong Punghwa,16,,,
2021-11-23,장흥 회진,Jangheung Hoejin,14,,,
2021-11-23,장흥 회진,Jangheung Hoejin,14,,,
2021-11-23,진도 전두,Jindo Jeondu,15,,,
2021-11-23,진도 전두,Jindo Jeondu,15,,,
2021-11-23,신안 압해,Shinan Aphae,14,,,
2021-11-23,남해 미조,NamHae Mizo,17,,,
2021-11-23,해남 화산,Haenam Hwasan,14,,,
2021-11-23,해남 화산,Haenam Hwasan,14,,,
2021-10-21,고성 봉포,Goseong Bongpo,13,,,
2021-11-23,구룡포 하정,GURYONGPOHAJEONG,15,,,
2021-11-23,완도 가교,WANDO GAGYO,14,,,
2021-11-23,완도 가교,WANDO GAGYO,14,,,
2021-11-23,완도 백도,WANDO BAEKDO,15,,,
2021-11-23,완도 백도,WANDO BAEKDO,14,,,
2021-11-23,완도 동백,WANDO DONGBAEK,15,,,
2021-11-23,완도 동백,WANDO DONGBAEK,15,,,
2021-10-21,고성 봉포,Goseong Bongpo,12,,,
2021-10-21,고성 봉포,Goseong Bongpo,13,,,
2021-11-23,완도 망남,MANGNAM,14,,,
2021-11-23,완도 일정,ILJUNG,15,,,
2021-11-23,서산 창리,CHANGRI,14,,,
2021-11-23,서산 창리,CHANGRI,14,,,
2021-11-23,군산 신시도,sinsido,13,,,
2021-11-23,완도 망남,MANGNAM,14,,,
2021-11-22,무안 도리포,MUAN DORIPO,12,,,
2021-11-23,장흥 사촌,JANGHEUNG SACHON,13,,,
2021-11-23,여수 제도,YEOSOO JEDO,15,,,
2021-11-23,영광 염산,YEONGGWANG YEOMSAN,12,,,
2021-11-23,진도 도목,JINDO DOMOK,13,,,
2021-11-23,고흥 신촌,GOHEUNG SINCHON,15,,,
2021-11-23,고흥 연소,GOHEUNG YEONSO,15,,,
2021-11-23,고흥 동촌,GOHEUNG DONGCHON,15,,,
2021-11-23,여수 군내 ,YEOSOO GUNNAE,15,,,
2021-11-23,여수 대율,YEOSOO DAEYUL,15,,,
2021-11-23,여수 송고,YEOSOO SONGGO,16,,,
2021-11-16,신안 읍동,shinan eupdong,15,,,
2021-11-23,신안 대리,shinan daeri,15,,,
2021-11-23,해남 문내,haenam munnae,15,,,
2021-11-23,진도 금갑,jindo geumgap,15,,,
2021-11-23,해남 황산,haenam hwangsan,14,,,
2021-11-23,해남 북일,haenam bukil,13,,,
2021-11-23,완도 방축,wando bangchuk,15,,,
2021-11-23,완도 예송,wando yesong,14,,,
2021-11-23,완도 중도,wando jungdo,15,,,
2021-11-23,완도 신흥,wando sinheung,15,,,
2021-11-23,강진 사초,gangjin sacho,14,,,
2021-11-23,장흥 이진목,jangheung ijinmok,14,,,
2021-11-23,보성 율포,boseong yulpo,14,,,
2021-11-23,신안 사리,shinan sari,15,,,
2021-11-23,신안 흑산,,15,,,
2021-11-23,신안 하의,,14,,,
2021-11-23,신안 안좌,,15,,,
2021-11-23,목포 외달,,14,,,
2021-11-23,무안 성내,,6,,,
2021-11-23,함평 석두,,10,,,
2021-11-23,해남 학가,,12,,,
2021-11-23,해남 송호,,14,,,
2021-11-23,완도 군외,,14,,,
2021-11-23,완도 미라,,14,,,
2021-11-23,고흥 화도,,15,,,
2021-11-23,고흥 장수,,15,,,
2021-11-23,신안 어의,,,,,
2021-11-23,신안 어의,,,,,
2021-11-23,신안 흑산,,,,,
2021-11-23,신안 흑산,,,,,
2021-11-23,신안 하의,,,,,
2021-11-23,신안 하의,,,,,
2021-11-23,신안 안좌,,,,,
2021-11-23,신안 안좌,,,,,
2021-11-23,목포 외달,,,,,
2021-11-23,목포 외달,,,,,
2021-11-23,무안 성내,,,,,
2021-11-23,무안 성내,,,,,
2021-11-23,함평 석두,,,,,
2021-11-23,함평 석두,,,,,
2023-06-27,기장,GIJANG,15,,,
2023-06-27,통영 학림,Tongyeong Haklim,20,,,
2023-06-27,남해 미조,NamHae Mizo,20,,,
2023-06-27,목포,Mokpo,22,,,
2023-06-27,남해 강진,NAMHAEKANGJIN,24,,,
2023-06-27,보령 효자도,BORYUNGHYOJADO,22,22,,
2023-06-27,삼척,SAMCHEOK,14,,,
2023-06-27,삼척,SAMCHEOK,12,,,
2023-06-27,삼척,SAMCHEOK,7,,,
2023-06-27,서산 지곡,Seosan Jigok,22,,,
2023-06-27,서제주,SEOJEJU,22,23,,
2023-06-27,기장,GIJANG,15,,,
2023-06-27,양양,YANGYANG,18,,,
2023-06-27,양양,YANGYANG,11,,,
2023-06-27,양양,YANGYANG,8,,,
2023-06-27,여수 신월,YEOSOOSINWOL,24,,,
2023-06-27,여수 화태,YEOSOOHWATAE,21,,,
2023-06-27,영덕,YEONGDEOK,18,,,
2023-06-27,영덕,YEONGDEOK,12,,,
2023-06-27,영덕,YEONGDEOK,10,,,
2023-06-27,완도 노화도,Wando Nohwado,20,,,
2023-06-27,완도 청산,WANDOCHEONGSAN,18,,,
2023-06-27,해남 임하,HAENAMIMHA,20,,,
2023-06-27,통영 비산도,Tongyeong Bisando,21,,,
2023-06-27,통영 사량,TONGYOUNGSARYANG,21,,,
2023-06-27,통영 영운,Tongyeong Yeongun,21,,,
2023-06-27,통영 풍화,Tongyeong Punghwa,22,,,
2023-06-27,통영 학림,Tongyeong Haklim,21,,,
2023-06-27,강릉,GANGNEUNG,8,,,
2023-06-27,거제 가배,"Geoje Gabae",22,,,
2023-06-27,거제 일운,Geoje Irun,19,,,
2023-06-27,기장,GIJANG,17,,,
2023-06-27,완도 금일,Wando Keumil,21,,,
2023-06-27,강릉,GANGNEUNG,14,,,
2023-06-27,강릉,GANGNEUNG,9,,,
2023-06-27,백령도,BAENGNYEONGDO,18,,,
2023-06-27,통영 학림,Tongyeong Haklim,20,,,
2023-06-27,통영 풍화,Tongyeong Punghwa,22,,,
2023-06-27,장흥 회진,Jangheung Hoejin,22,,,
2023-06-27,장흥 회진,Jangheung Hoejin,21,,,
2023-06-27,진도 전두,Jindo Jeondu,19,,,
2023-06-27,진도 전두,Jindo Jeondu,19,,,
2023-06-27,신안 압해,Shinan Aphae,22,,,
2023-06-27,남해 미조,NamHae Mizo,19,,,
2023-06-27,해남 화산,Haenam Hwasan,23,,,
2023-06-27,해남 화산,Haenam Hwasan,0,,,
2023-06-27,고성 봉포,Goseong Bongpo,17,,,
2023-06-27,구룡포 하정,GURYONGPOHAJEONG,17,,,
2023-06-27,완도 가교,WANDO GAGYO,24,,,
2023-06-27,완도 가교,WANDO GAGYO,23,,,
2023-06-27,완도 백도,WANDO BAEKDO,19,,,
2023-06-27,완도 백도,WANDO BAEKDO,19,,,
2023-06-27,완도 동백,WANDO DONGBAEK,20,,,
2023-06-27,완도 동백,WANDO DONGBAEK,19,,,
2023-06-27,고성 봉포,Goseong Bongpo,9,,,
2023-06-27,고성 봉포,Goseong Bongpo,7,,,
2023-06-27,완도 망남,MANGNAM,19,,,
2023-06-27,고리,GORI,18,23,,
2023-06-27,덕천,DUCCHEN,16,32,,
2023-06-27,나곡,NAGOK,15,32,,
2023-06-27,진하,JINHA,17,30,,
2023-06-27,기장(한수원),GIJANG,18,33,,
2023-06-27,온양,ONYANG,11,34,,
2023-06-27,완도 일정,ILJUNG,19,,,
2023-06-27,서산 창리,CHANGRI,24,20,,
2023-06-27,서산 창리,CHANGRI,23,,,
2023-06-27,군산 신시도,sinsido,22,,,
2023-06-27,완도 망남,MANGNAM,19,,,
2023-06-27,부산 장안,Busan Jangan,17,,,Y
2023-06-27,울진 후포,Uljin Hupo,21,,,Y
2023-06-27,추자도,Chujado,22,,,Y
2023-06-27,군산 비안도,Gunsan Biando,23,,,Y
2023-06-27,보령 삽시도,Sapsido,21,,,Y
2023-06-27,맹골수도(기상청파고부이),,19,,,Y
2023-06-27,제주 우도,Jeju Udo,24,,,Y
2023-06-27,제주 협재,Jeju Hyupjae,22,,,Y
2023-06-27,혈암(기상청파고부이),,22,,,Y
2023-06-27,구암(기상청파고부이),,22,,,Y
2023-06-27,태안 신진도,Sinjindo,19,,,Y
2023-06-27,진도 불도,Jindo Buldo,14,,,Y
2023-06-27,통영 두미도,Tongyeong Doomido,22,,,Y
2023-06-27,신안 자은,Sinan Jaeun,19,,,Y
2023-06-27,독도(기상청파고부이),,21,,,Y
2023-06-27,연곡(기상청파고부이),,18,,,Y
2023-06-27,거제 해금강,Tongyeong Haegeumgang,19,,,Y
2023-06-27,청산도(기상청파고부이),,19,,,Y
2023-06-27,제주 용담,Jeju Yongdam,23,,,Y
2023-06-27,제주 중문,Jeju Jungmun,22,,,Y
2023-06-27,오륙도(기상청파고부이),,18,,,Y
2023-06-27,부산 다대포,Busan Dadaepo,23,,,Y
2023-06-27,인천 이작도,Ijakdo,20,,,Y
2023-06-27,울릉읍(기상청파고부이),,21,,,Y
2023-06-27,여수 금오도,yeosu Keunodo,21,,,Y
2023-06-27,통영 한산도,Tongyeong Hansando,19,,,Y
2023-06-27,토성(기상청파고부이),,18,,,Y
2023-06-27,인천 자월도,Jaweoldo,18,,,Y
2023-06-27,서천 마량,Seocheon Maryang,21,,,Y
2023-06-27,군산 횡경도,Gunsan Hoengkyungdo,22,,,Y
2023-06-27,영광 안마도,Yeongkwang Anmado,23,,,Y
2023-06-27,제주 가파도,Jeju Gapado,22,,,Y
2023-06-27,고흥 부아도,Goheung Buado,21,,,Y
2023-06-27,울산 간절곶,Ulsan Ganjeolgop,18,,,Y
2023-06-27,통영 소매물도,Tongyeong Somaemuldo,21,,,Y
2023-06-27,태안 내포,Naepo,23,,,Y
2023-06-27,태안 안면도,Anmyeondo,32,,,Y
2023-06-27,대치마도(기상청파고부이),,23,,,Y
2023-06-27,포항 월포,Pohang Wolpo,20,,,Y
2023-06-27,영광 낙월,Yeongkwang Nakweol,24,,,Y
2023-06-27,제주 신산,Jeju Sinsan,20,,,Y
2023-06-27,부안 변산,Buan Byunsan,23,,,Y
2023-06-27,남해 상주,Namhae Sangju,22,,,Y
2023-06-27,통영 연화도,Tongyeong Yeonhwado,21,,,Y
2023-06-27,진도 조도,Jindo Jodo,19,,,Y
2023-06-21,사량도(기상청파고부이),,21,,,Y
2023-06-27,진도 불무도,Jindo Bulmudo,18,,,Y
2023-06-27,제주 영락,Jeju Youngrak,19,,,Y
2023-06-21,진해 잠도,Jinhae Jamdo,19,,,Y
2023-06-27,삼척(기상청파고부이),,17,,,Y
2023-06-27,부안 위도,Buan Wido,21,,,Y
2023-06-27,나로도(기상청파고부이),,21,,,Y
2023-06-27,인천 장봉도,Jangbongdo,21,,,Y
2023-06-27,노화도(기상청파고부이),,21,,,Y
2023-06-27,제주 김녕,Jeju Gimnyung,23,,,Y
2023-06-25,초도(기상청파고부이),,20,,,Y
2023-06-27,고흥 소록도,Goheung Sorokdo,22,22,,
2023-06-27,통영 수월,Tongyeong Suwol,23,19,,
2023-06-27,신안 어의,,,,,
2023-06-27,신안 어의,,,,,
2023-06-27,신안 어의,,24,,,
2023-06-27,신안 흑산,,,,,
2023-06-27,신안 흑산,,,,,
2023-06-27,신안 흑산,,19,,,
2023-06-27,신안 하의,,,,,
2023-06-27,신안 하의,,,,,
2023-06-27,신안 하의,,21,,,
2023-06-27,신안 안좌,,,,,
2023-06-27,신안 안좌,,,,,
2023-06-27,신안 안좌,,0,,,
2023-06-27,목포 외달,,22,,,
2023-06-27,목포 외달,,,,,
2023-06-27,목포 외달,,,,,
2023-06-27,무안 성내,,24,,,
2023-06-27,무안 성내,,,,,
2023-06-27,무안 성내,,,,,
2023-06-27,함평 석두,,26,,,
2023-06-27,함평 석두,,,,,
2023-06-27,함평 석두,,,,,
2023-06-27,태안 파도리,taean padori,19,,,
2023-06-27,태안 파도리,taean padori,19,,,
2023-06-27,태안 대야도,taean daeyado,22,,,
2023-06-27,태안 대야도,taean daeyado,22,,,
2023-06-27,해남 학가,,23,,,
2023-06-27,해남 송호,,22,,,
2023-06-27,완도 군외,,24,,,
2023-06-27,완도 미라,,19,,,
2023-06-27,고흥 화도,,22,,,
2023-06-27,신안다수,shinan dasu,20,,,
2023-06-27,강진 마량,gangjin maryang,23,,,
2023-06-27,장흥 내저,jangheung naejeo,22,,,
2023-06-27,장흥 내저,jangheung naejeo,,,,
2023-06-27,장흥 내저,jangheung naejeo,,,,
2023-06-27,강진 마량,gangjin maryang,,,,
2023-06-27,강진 마량,gangjin maryang,,,,
2023-06-27,신안 다수,shinan dasu,,,,
2023-06-27,신안 다수,shinan dasu,,,,
2023-06-27,신안 다물도,shinan damuldo,19,,,
2023-06-27,해남 어란,haenam eoran,21,,,
